Type;P;D_min;D_max;D1_min;D1_max;D2;Nut_Height;Key_Width
M16;2;15.68;15.96;14.5;14.6;13.8;14.8;24
M18;2.5;17.62;17.96;16.15;16.25;15.25;15.8;27
M20;2.5;19.62;19.96;18.15;18.25;17.25;18;30
M22;2.5;21.62;21.96;20.15;20.25;19.25;19.4;34
M24;3;23.58;23.95;21.8;21.9;20.7;21.5;36
M27;3;26.58;26.95;24.8;24.9;23.7;23.8;41
M30;3.5;29.52;29.95;27.5;27.6;26.16;25.6;46
M33;3.5;32.52;32.95;30.5;30.6;29.16;28.7;50
M36;4;35.46;35.94;33.15;33.25;31.61;31;55
M39;4;38.46;38.94;36.2;36.3;34.61;33.4;66
M42;4.5;41.44;41.94;38.8;38.9;37.07;34;65
M45;4.5;44.44;44.94;41.8;41.9;40.07;36;70
M48;5;47.4;47.93;44.5;44.6;42.52;38;75
M52;5;51.4;51.93;48.5;48.6;46.52;42;80
M56;5.5;55.36;55.92;52.1;52.2;49.97;45;85
M60;5.5;59.36;59.92;57.85;57.95;53.97;48;90
M64;6;63.32;63.92;59.8;59.9;57.42;51;95
