Fylke,Kommune,Nr,agR
Viken,Aremark,3012,0.20
Viken,Asker,3025,0.25
Viken,Aurskog-Høland,3026,0.20
Viken,Bærum,3024,0.25
Viken,Drammen,3005,0.25
Viken,Eidsvoll,3033,0.20
Viken,Enebakk,3028,0.25
Viken,Flesberg,3050,0.20
Viken,Fredrikstad,3004,0.20
Viken,Frogn,3022,0.25
Viken,Gjerdrum,3032,0.20
Viken,Gol,3041,0.20
Viken,Halden,3001,0.20
Viken,Hemsedal,3042,0.20
Viken,Hol,3044,0.25
Viken,Hole,3038,0.25
Viken,Hurdal,3037,0.20
Viken,Hvaler,3011,0.20
Viken,Indre Østfold,3014,0.20
Viken,Jevnaker,3053,0.20
Viken,Kongsberg,3006,0.20
Viken,Krødsherad,3046,0.20
Viken,Lier,3049,0.20
Viken,Lillestrøm,3030,0.25
Viken,Lunner,3054,0.20
Viken,Lørenskog,3029,0.25
Viken,Marker,3013,0.20
Viken,Modum,3047,0.20
Viken,Moss,3002,0.25
Viken,Nannestad,3036,0.20
Viken,Nes,3034,0.20
Viken,Nesbyen,3040,0.20
Viken,Nesodden,3023,0.25
Viken,Nittedal,3031,0.25
Viken,Nordre Follo,3020,0.25
Viken,Nore og Uvdal,3052,0.25
Viken,Rakkestad,3016,0.20
Viken,Ringerike,3007,0.20
Viken,Rollag,3051,0.20
Viken,Rælingen,3027,0.25
Viken,Råde,3017,0.20
Viken,Sarpsborg,3003,0.20
Viken,Sigdal,3045,0.20
Viken,Skiptvet,3015,0.20
Viken,Ullensaker,3033,0.20
Viken,Vestby,3019,0.25
Viken,Våler,3018,0.20
Viken,Øvre Eiker,3048,0.20
Viken,Ål,3043,0.20
Viken,Ås,3021,0.25
Oslo,Oslo,301,0.25
Innlandet,Alvdal,3428,0.20
Innlandet,Dovre,3431,0.20
Innlandet,Eidskog,3416,0.20
Innlandet,Elverum,3420,0.20
Innlandet,Engerdal,3425,0.20
Innlandet,Etnedal,3450,0.20
Innlandet,Folldal,3429,0.20
Innlandet,Gausdal,3441,0.20
